,bowler,balls_bowled,runs_conceeded,wickets,Economy,Rating
202,A Rajpoot,270,387,9,8.6,8.0
203,G Vihari,24,33,1,8.25,8.0
204,M Shami,671,889,14,7.949329359165425,9.0
205,C Morris,604,730,20,7.251655629139073,9.5
206,H (2),12,22,0,11.0,8.0
207,S Kaul,294,421,11,8.591836734693878,8.0
208,A Finch,6,3,0,3.0,8.0
209,M Sharma,798,1046,35,7.864661654135338,9.25
210,R Rampaul,162,158,9,5.851851851851852,9.0
211,S Senanayake,126,107,4,5.095238095238095,8.0
212,R Dhawan,78,99,2,7.615384615384615,8.0
213,J Holder,174,254,5,8.758620689655173,8.0
214,I Pandey,264,300,11,6.818181818181818,9.5
215,D Sammy,24,33,1,8.25,8.0
216,K Sharma,156,183,6,7.038461538461538,9.0
217,K Richardson,163,182,9,6.699386503067485,9.0
218,T Suman,6,5,0,5.0,8.0
219,P Suyal,60,87,1,8.7,8.0
220,M Neser,6,18,0,18.0,8.0
221,P Rasool,66,100,1,9.09090909090909,8.0
222,S Sharma,1236,1414,53,6.864077669902913,9.5
223,P Tambe,78,110,3,8.461538461538462,8.0
224,N Coulter-Nile,330,373,13,6.781818181818182,9.5
225,C Anderson,72,118,2,9.833333333333332,8.0
226,M Starc,296,316,9,6.405405405405405,9.0
227,A Patel,325,397,9,7.329230769230769,9.0
228,S Yadav,6,8,0,8.0,8.0
229,I Tahir,55,85,3,9.272727272727273,8.0
230,Y Chahal,356,481,15,8.106741573033709,8.25
231,B Cutting,42,66,0,9.428571428571429,8.0
232,B Hendricks,61,105,1,10.327868852459016,8.0
233,K Santokie,18,29,1,9.666666666666668,8.0
234,P Cummins,345,427,14,7.42608695652174,9.5
235,J Hastings,36,48,1,8.0,8.0
236,S Gopal,96,123,8,7.6875,9.0
237,J Neesham,30,50,1,10.0,8.0
238,D Hooda,54,76,1,8.444444444444445,8.0
239,D Wiese,61,60,6,5.9016393442622945,9.0
240,M McClenaghan,655,823,31,7.538931297709924,9.25
241,D Muthuswami,72,92,3,7.666666666666666,8.0
242,S Abbott,18,38,0,12.666666666666668,8.0
243,K Cariappa,36,64,0,10.666666666666666,8.0
244,T Boult,637,754,26,7.1020408163265305,9.5
245,J Suchith,48,73,2,9.125,8.0
246,K Singh,12,26,0,13.0,8.0
247,S Thakur,336,478,11,8.535714285714286,8.0
248,R More,6,15,0,15.0,8.0
249,G Sandhu,6,7,0,7.0,8.0
250,J Yadav,120,135,2,6.75,8.0
251,G Singh,12,19,0,9.5,8.0
252,P Negi,42,64,2,9.142857142857142,8.0
253,B Sran,230,339,5,8.843478260869565,8.0
254,M Stoinis,84,136,5,9.714285714285715,8.0
255,M Rahman,150,150,4,6.0,8.75
256,A Milne,43,69,0,9.627906976744185,8.0
257,M Ashwin,37,68,0,11.027027027027028,8.0
258,C Brathwaite,24,30,0,7.5,8.0
259,K Pandya,259,301,10,6.972972972972972,9.5
260,K Abbott,42,70,0,10.0,8.0
261,P Sahu,6,9,0,9.0,8.0
262,S Boland,18,22,1,7.333333333333334,8.0
263,C Jordan,84,135,2,9.642857142857142,8.0
264,S Kaushik,18,36,0,12.0,8.0
265,A Zampa,7,8,0,6.857142857142857,8.0
266,M Vijay,6,7,0,7.0,8.0
267,D Chahar,799,980,33,7.359198998748435,9.5
268,K Williamson,6,7,0,7.0,8.0
269,T Mills,44,55,3,7.5,8.0
270,A Choudhary,36,46,3,7.666666666666666,8.0
271,R Khan,133,153,7,6.902255639097744,9.0
272,B Stokes,180,263,8,8.766666666666666,8.0
273,H Pandya,156,245,5,9.423076923076923,7.5
274,C Woakes,132,208,4,9.454545454545453,8.0
275,B Stanlake,84,106,2,7.571428571428571,8.0
276,T Baroka,6,8,0,8.0,8.0
277,K Yadav,56,65,0,6.964285714285715,8.0
278,B Thampi,120,192,2,9.600000000000001,8.0
279,A Tye,168,216,11,7.714285714285715,9.0
280,L Ferguson,81,125,4,9.25925925925926,8.0
281,M Nabi,138,128,7,5.565217391304348,9.0
282,M Siraj,229,334,12,8.751091703056769,8.0
283,K Rabada,322,409,11,7.621118012422359,9.0
284,W Sundar,277,328,8,7.1046931407942235,9.0
285,S Agarwal,6,11,0,11.0,8.0
286,N Singh,24,14,1,3.5,8.0
287,T Natarajan,126,148,3,7.0476190476190474,8.0
288,A Soni,6,3,0,3.0,8.0
289,C Grandhomme,12,11,0,5.5,8.0
290,M Henry,18,36,0,12.0,8.0
291,R Tewatia,12,15,0,7.5,8.0
292,A Khan,114,191,4,10.05263157894737,8.0
293,N Saini,252,318,7,7.571428571428571,9.0
294,M Ali,30,30,0,6.0,8.0
295,M Krishna,270,390,4,8.666666666666666,8.0
296,R Salam,12,17,0,8.5,8.0
297,K Gowtham,210,276,7,7.885714285714286,9.0
298,J Archer,342,293,17,5.140350877192983,9.5
299,S Curran,216,277,4,7.694444444444445,8.5
300,M Rahman,131,145,5,6.641221374045801,9.0
301,C Varun,48,68,1,8.5,8.0
302,G Viljoen,36,54,2,9.0,8.0
303,S Lamichhane,72,100,5,8.333333333333332,7.25
304,M Santner,38,59,2,9.31578947368421,8.0
305,J Behrendorff,78,119,3,9.153846153846153,8.0
306,S Kuggeleijn,6,11,0,11.0,8.0
307,R Chahar,60,80,3,8.0,8.0
308,A Joseph,24,34,1,8.5,8.0
309,H Gurney,66,62,2,5.636363636363637,8.0
310,K Ahmed,216,315,11,8.75,8.0
311,A Singh,120,167,4,8.35,8.0
312,B Laughlin,36,60,3,10.0,8.0
313,T Curran,42,63,1,9.0,8.0
314,K Khejroliya,18,35,0,11.666666666666666,8.0
315,A Dananjaya,6,12,0,12.0,8.0
316,S Mavi,156,216,5,8.307692307692307,8.25
317,N Rana,13,6,0,2.769230769230769,8.0
318,L Plunkett,42,69,1,9.857142857142858,8.0
319,L Ngidi,114,122,6,6.421052631578947,9.0
